txn_id,store_num,business_date,item_desc,sale_amt
359344,6752,9/4/2024,16 OZ COFFEE,1.99
1291468,926,9/4/2024,16 OZ COFFEE,3.58
991090,885,9/4/2024,16 OZ COFFEE,1.79
1359224,6943,9/4/2024,16 OZ COFFEE,1.89
565176,6747,9/4/2024,16 OZ COFFEE,1.79
1753116,967,9/4/2024,16 OZ COFFEE,1.79
1188434,6778,9/4/2024,16 OZ COFFEE,1.79
565142,6747,9/4/2024,16 OZ COFFEE,1.79
1358689,6943,9/4/2024,16 OZ COFFEE,1.89
1290841,926,9/4/2024,16 OZ COFFEE,1.79
299609,6999,9/4/2024,16 OZ COFFEE,2.09
1359144,6943,9/4/2024,16 OZ COFFEE,1.89
507100,6746,9/4/2024,16 OZ COFFEE,1.89
1753085,967,9/4/2024,16 OZ COFFEE,1.79
1358833,6943,9/4/2024,16 OZ COFFEE,1.89
1358784,6943,9/4/2024,16 OZ COFFEE,1.89
868646,6849,9/4/2024,16 OZ COFFEE,1.99
506979,6746,9/4/2024,16 OZ COFFEE,1.89
1753100,967,9/4/2024,16 OZ COFFEE,1.79
1290860,926,9/4/2024,16 OZ COFFEE,1.79
1188314,6778,9/4/2024,16 OZ COFFEE,1.79
1291222,926,9/4/2024,16 OZ COFFEE,1.79
1290988,926,9/4/2024,16 OZ COFFEE,1.79
565168,6747,9/4/2024,16 OZ COFFEE,1.79
1358741,6943,9/4/2024,16 OZ COFFEE,1.89
1383798,6706,9/4/2024,16 OZ COFFEE,1.69
1189359,6778,9/4/2024,16 OZ COFFEE,1.79
1359002,6943,9/4/2024,16 OZ COFFEE,1.89
1358928,6943,9/4/2024,16 OZ COFFEE,1.89
1359142,6943,9/4/2024,16 OZ COFFEE,1.89
1358729,6943,9/4/2024,16 OZ COFFEE,1.89
1358953,6943,9/4/2024,16 OZ COFFEE,1.89
1188635,6778,9/4/2024,16 OZ COFFEE,1.79
1290911,926,9/4/2024,16 OZ COFFEE,1.79
1188453,6778,9/4/2024,16 OZ COFFEE,1.79
991111,885,9/4/2024,16 OZ COFFEE,1.79
1383880,6706,9/4/2024,16 OZ COFFEE,1.69
507040,6746,9/4/2024,16 OZ COFFEE,1.89
1188774,6778,9/4/2024,16 OZ COFFEE,1.79
1291571,926,9/4/2024,16 OZ COFFEE,1.79
1291076,926,9/4/2024,16 OZ COFFEE,1.79
868736,6849,9/4/2024,16 OZ COFFEE,1.99
507041,6746,9/4/2024,16 OZ COFFEE,1.89
1291263,926,9/4/2024,16 OZ COFFEE,1.79
1188439,6778,9/4/2024,16 OZ COFFEE,1.79
1291064,926,9/4/2024,16 OZ COFFEE,1.79
1383910,6706,9/4/2024,16 OZ COFFEE,1.69
1358836,6943,9/4/2024,16 OZ COFFEE,1.89
1188943,6778,9/4/2024,16 OZ COFFEE,1.79
1753130,967,9/4/2024,16 OZ COFFEE,1.79
1291157,926,9/4/2024,16 OZ COFFEE,1.79
1189079,6778,9/4/2024,16 OZ COFFEE,1.79
1358727,6943,9/4/2024,16 OZ COFFEE,1.89
1358817,6943,9/4/2024,16 OZ COFFEE,1.89
1291378,926,9/4/2024,16 OZ COFFEE,1.79
1383905,6706,9/4/2024,16 OZ COFFEE,1.69
1290831,926,9/4/2024,16 OZ COFFEE,1.79
1358889,6943,9/4/2024,16 OZ COFFEE,1.89
1358708,6943,9/4/2024,16 OZ COFFEE,1.89
1383736,6706,9/4/2024,16 OZ COFFEE,1.69
1188749,6778,9/4/2024,16 OZ COFFEE,1.79
1188574,6778,9/4/2024,16 OZ COFFEE,1.79
565525,6747,9/4/2024,16 OZ COFFEE,1.79
1291235,926,9/4/2024,16 OZ COFFEE,3.58
507062,6746,9/4/2024,16 OZ COFFEE,1.89
565199,6747,9/4/2024,16 OZ COFFEE,1.79
868607,6849,9/4/2024,16 OZ COFFEE,1.99
1358710,6943,9/4/2024,16 OZ COFFEE,1.89
1290998,926,9/4/2024,16 OZ COFFEE,1.79
507040,6746,9/4/2024,16 OZ COFFEE,1.89
1358767,6943,9/4/2024,16 OZ COFFEE,1.89
1358708,6943,9/4/2024,16 OZ COFFEE,1.89
359346,6752,9/4/2024,16 OZ COFFEE,1.99
1358738,6943,9/4/2024,16 OZ COFFEE,1.89
1291367,926,9/4/2024,16 OZ COFFEE,1.79
868629,6849,9/4/2024,16 OZ COFFEE,1.99
868792,6849,9/4/2024,16 OZ COFFEE,1.99
1322949,926,9/19/2024,16 OZ COFFEE,1.79
1017328,885,9/19/2024,16 OZ COFFEE,1.79
1412147,6706,9/19/2024,16 OZ COFFEE,1.69
889014,6849,9/19/2024,16 OZ COFFEE,1.99
888982,6849,9/19/2024,16 OZ COFFEE,1.99
578323,6747,9/19/2024,16 OZ COFFEE,1.79
1383579,6943,9/19/2024,16 OZ COFFEE,1.89
368507,6752,9/19/2024,16 OZ COFFEE,1.99
1220802,6778,9/19/2024,16 OZ COFFEE,1.79
889145,6849,9/19/2024,16 OZ COFFEE,1.99
1322358,926,9/19/2024,16 OZ COFFEE,1.79
1411978,6706,9/19/2024,16 OZ COFFEE,1.69
889090,6849,9/19/2024,16 OZ COFFEE,1.99
578312,6747,9/19/2024,16 OZ COFFEE,1.79
1383466,6943,9/19/2024,16 OZ COFFEE,1.89
890277,6849,9/19/2024,16 OZ COFFEE,1.99
1220540,6778,9/19/2024,16 OZ COFFEE,1.79
890274,6849,9/19/2024,16 OZ COFFEE,1.99
1383614,6943,9/19/2024,16 OZ COFFEE,1.89
1220812,6778,9/19/2024,16 OZ COFFEE,1.79
1412218,6706,9/19/2024,16 OZ COFFEE,1.69
1322787,926,9/19/2024,16 OZ COFFEE,1.79
1322366,926,9/19/2024,16 OZ COFFEE,1.79
1220349,6778,9/19/2024,16 OZ COFFEE,1.79
1220712,6778,9/19/2024,16 OZ COFFEE,1.79
1222108,6778,9/19/2024,16 OZ COFFEE,1.79
1220680,6778,9/19/2024,16 OZ COFFEE,1.79
1384300,6943,9/19/2024,16 OZ COFFEE,1.89
319766,6999,9/19/2024,16 OZ COFFEE,2.09
1383849,6943,9/19/2024,16 OZ COFFEE,1.89
1220476,6778,9/19/2024,16 OZ COFFEE,1.79
889123,6849,9/19/2024,16 OZ COFFEE,1.99
517713,6746,9/19/2024,16 OZ COFFEE,1.89
1017097,885,9/19/2024,16 OZ COFFEE,1.79
517702,6746,9/19/2024,16 OZ COFFEE,1.89
889417,6849,9/19/2024,16 OZ COFFEE,1.99
578365,6747,9/19/2024,16 OZ COFFEE,1.79
889430,6849,9/19/2024,16 OZ COFFEE,1.99
1322517,926,9/19/2024,16 OZ COFFEE,1.79
1322876,926,9/19/2024,16 OZ COFFEE,1.79
1322720,926,9/19/2024,16 OZ COFFEE,1.79
318752,6999,9/19/2024,16 OZ COFFEE,2.09
1322754,926,9/19/2024,16 OZ COFFEE,1.79
1412157,6706,9/19/2024,16 OZ COFFEE,1.69
889022,6849,9/19/2024,16 OZ COFFEE,1.99
1221635,6778,9/19/2024,16 OZ COFFEE,1.79
1322726,926,9/19/2024,16 OZ COFFEE,1.79
1383417,6943,9/19/2024,16 OZ COFFEE,1.89
889155,6849,9/19/2024,16 OZ COFFEE,1.99
1383412,6943,9/19/2024,16 OZ COFFEE,1.89
1383576,6943,9/19/2024,16 OZ COFFEE,1.89
1220536,6778,9/19/2024,16 OZ COFFEE,1.79
1016947,885,9/19/2024,16 OZ COFFEE,1.79
318864,6999,9/19/2024,16 OZ COFFEE,2.09
889252,6849,9/19/2024,16 OZ COFFEE,1.99
368472,6752,9/19/2024,16 OZ COFFEE,1.99
1793589,967,9/19/2024,16 OZ COFFEE,1.89
1383949,6943,9/19/2024,16 OZ COFFEE,1.89
517819,6746,9/19/2024,16 OZ COFFEE,1.89
1220915,6778,9/19/2024,16 OZ COFFEE,1.79
1322702,926,9/19/2024,16 OZ COFFEE,1.79
517810,6746,9/19/2024,16 OZ COFFEE,1.89
1322769,926,9/19/2024,16 OZ COFFEE,1.79
368499,6752,9/19/2024,16 OZ COFFEE,1.99
1384270,6943,9/19/2024,16 OZ COFFEE,1.89
1220411,6778,9/19/2024,16 OZ COFFEE,1.79
1412028,6706,9/19/2024,16 OZ COFFEE,1.69
889487,6849,9/19/2024,16 OZ COFFEE,1.99
1322629,926,9/19/2024,16 OZ COFFEE,1.79
579158,6747,9/19/2024,16 OZ COFFEE,1.79
1411833,6706,9/19/2024,16 OZ COFFEE,1.69
1322449,926,9/19/2024,16 OZ COFFEE,1.79
1220849,6778,9/19/2024,16 OZ COFFEE,1.79
1322655,926,9/19/2024,16 OZ COFFEE,1.79
889076,6849,9/19/2024,16 OZ COFFEE,1.99
1383521,6943,9/19/2024,16 OZ COFFEE,1.89
1323639,926,9/19/2024,16 OZ COFFEE,3.58
1322461,926,9/19/2024,16 OZ COFFEE,1.79
1322430,926,9/19/2024,16 OZ COFFEE,1.79
1220572,6778,9/19/2024,16 OZ COFFEE,1.79
1322703,926,9/19/2024,16 OZ COFFEE,1.79
1235439,6778,9/26/2024,16 OZ COFFEE,1.79
1338437,926,9/26/2024,16 OZ COFFEE,1.79
1235531,6778,9/26/2024,16 OZ COFFEE,1.79
1338485,926,9/26/2024,16 OZ COFFEE,1.79
1395233,6943,9/26/2024,16 OZ COFFEE,1.89
584301,6747,9/26/2024,16 OZ COFFEE,1.79
675373,6733,9/26/2024,16 OZ COFFEE,1.99
1235305,6778,9/26/2024,16 OZ COFFEE,1.79
1338167,926,9/26/2024,16 OZ COFFEE,3.58
1395251,6943,9/26/2024,16 OZ COFFEE,1.89
